sample,fastq_1
ERR4661016,/data/everest-nf/data/test/LR_PB/PRJEB32062_S/ERR4661016_R1.fastq.gz
ERR4661017,/data/everest-nf/data/test/LR_PB/PRJEB32062_S/ERR4661017_R1.fastq.gz
